# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6c2019ed228
# CUDA_DEVICE 0 Tesla C2070
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,dram reads,dram writes
128533c818728080,main_70_gpu,5466.46,5,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191800,38009,136289,18135,585,0,195724,0,0,2925,0,520046,2665635,161854,1875510,0,150057,4672,149504,0,143465388,3128012,9048624,0,5244418,8855197,4822747,0,0,12831714,5926121
128533c818c5f700,main_74_gpu_red,20.672,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3201,514,3056,0,1,8,256,0,86929,11477,2056,0,1,2096,1,0,0,2872,2
128533c81b8bcd40,memcpyDtoHasync,2.336,52,,,,,,,,,,,0,0,8,0
128533c81b91c340,main_58_gpu,5101.92,11,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149376,37344,122040,6424,584,0,173144,0,0,0,0,373642,2378556,149440,1558760,0,149768,4680,149760,0,139508152,2930022,8347920,0,5236226,8864673,4409132,0,0,12828631,5416993
128533c81be01580,memcpyHtoD,1.696,5028.02,,,,,,,,,,,0,0,8,0
128533c81be1a160,main_70_gpu,5455.55,7,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191800,38009,136024,18104,584,0,195056,0,0,2925,0,518855,2668008,161173,1875078,0,150009,4672,149504,0,143573433,3130394,9054096,0,5244418,8852079,4821793,0,0,12835848,5931270
128533c81c34eda0,main_74_gpu_red,20.48,5,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3197,514,3056,0,1,8,256,0,86513,11369,2056,0,1,2096,1,0,0,2872,2
128533c81c354c60,memcpyDtoHasync,2.272,5483,,,,,,,,,,,0,0,8,0
128533c81c3a6fa0,main_58_gpu,5104.54,7,1,16,512,1,32,8,1,0,8,16,0,-1,,0,0,0,149760,37440,122265,6435,585,0,172848,0,0,0,0,374193,2382894,149336,1555716,0,149480,4680,149760,0,139576470,2925232,8345640,0,5236226,8864353,4413354,0,0,12851611,5424638
128533c81c88c020,memcpyHtoD,1.696,5045,,,,,,,,,,,0,0,8,0
128533c81c8a3d60,main_70_gpu,5462.08,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,191472,37944,136273,18135,585,0,195024,0,0,2925,0,521002,2668731,161239,1871872,0,149656,4672,149504,0,143386800,3128566,9062676,0,5244418,8850423,4822879,0,0,12834214,5928424
128533c81cdda320,main_74_gpu_red,20.416,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3201,514,3056,0,1,8,256,0,86593,11427,2056,0,1,2096,1,0,0,2872,2
128533c81cde01c0,memcpyDtoHasync,2.272,5491,,,,,,,,,,,0,0,8,0
