# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6c201acad28
# CUDA_DEVICE 0 Tesla C2070
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,dram reads,dram writes
1285339f6b69cd40,memcpyDtoHasync,2.24,5544,,,,,,,,,,,0,0,8,0
1285339f6b6d6200,main_71_gpu,5284.32,7,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,32768,32768,108246,5698,518,0,150960,0,0,0,0,40707,1448070,97464,1258356,0,145248,4096,131072,0,147552462,2994374,6151588,0,5236226,8851824,4481890,0,0,13057509,5677274
1285339f6bbe6d80,memcpyHtoD,1.696,5225,,,,,,,,,,,0,0,8,0
1285339f6bbfe6c0,main_58_gpu,5518.88,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,195000,38643,133726,17794,574,0,191048,0,0,2875,0,502428,2662730,162918,1845792,0,147632,4760,152320,0,144582026,3144632,9550016,0,5244418,9316841,4636521,0,0,13601025,5832977
1285339f6c142a20,main_62_gpu_red,20.448,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3201,514,3056,0,1,8,256,0,86778,11437,2056,0,1,2084,1,0,0,2856,2
1285339f6c1488a0,memcpyDtoHasync,2.272,5549,,,,,,,,,,,0,0,8,0
1285339f6c181c80,main_71_gpu,5303.49,6,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,36384,36384,113069,5951,541,0,150912,0,0,0,0,36115,1497986,99630,1123424,0,129712,4120,131840,0,144818656,2982650,6141756,0,5236226,8836709,4489457,0,0,13060220,5687374
1285339f6c6aefe0,memcpyHtoD,1.696,5341,,,,,,,,,,,0,0,8,0
1285339f6c6c7060,main_58_gpu,5504.99,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,194096,38464,133244,17732,572,0,191032,0,0,2870,0,503454,2667131,166948,1900726,0,152025,4752,152064,0,143595543,3152398,9536036,0,5244418,9342690,4628499,0,0,13613140,5829834
1285339f6cc07de0,main_62_gpu_red,20.32,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,87120,11411,2056,0,1,2088,1,0,0,2856,2
1285339f6cc0dc20,memcpyDtoHasync,2.24,5537,,,,,,,,,,,0,0,8,0
1285339f6cc48b60,main_71_gpu,5203.04,7,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,33072,33072,106751,5621,511,0,150648,0,0,0,0,34091,1439625,96606,1134484,0,130936,4280,136960,0,147541170,3087300,6151020,0,5236226,8887792,4465255,0,0,12866192,5642097
1285339f6d145920,memcpyHtoD,1.696,5054,,,,,,,,,,,0,0,8,0
1285339f6d15d4c0,main_58_gpu,5503.9,6,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,194424,38529,132079,17577,567,0,191032,0,0,2860,0,501126,2676785,171434,1904364,0,152402,4760,152320,0,144145070,3149436,9562596,0,5244418,9341694,4622531,0,0,13611488,5818753
1285339f6d69ddc0,main_62_gpu_red,20.512,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3201,514,3056,0,1,8,256,0,87809,11439,2056,0,1,2080,1,0,0,2856,2
1285339f6d6a3ca0,memcpyDtoHasync,2.304,5534,,,,,,,,,,,0,0,8,0
1285339f6d6f33e0,main_71_gpu,5275.81,7,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,37856,37856,119548,6292,572,0,152128,0,0,0,0,34875,1499282,102326,1145544,0,132272,4112,131584,0,147589966,2996928,6145336,0,5236226,8933152,4474036,0,0,12924309,5653749
1285339f6dc01da0,memcpyHtoD,1.696,5215,,,,,,,,,,,0,0,8,0
1285339f6dc19840,main_58_gpu,5513.98,7,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,193848,38415,131862,17546,566,0,190698,0,0,2855,0,498627,2677081,171480,1897088,0,151680,4760,152320,0,140989774,3147734,9568564,0,5244418,9354807,4618199,0,0,13636640,5813212
1285339f6e15c880,main_62_gpu_red,20.48,5,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3201,514,3056,0,1,8,256,0,86992,11471,2056,0,1,2084,1,0,0,2860,2
1285339f6e162740,memcpyDtoHasync,2.272,5544,,,,,,,,,,,0,0,8,0
1285339f6e19ba20,main_71_gpu,5274.21,7,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,35392,35392,107201,5643,513,0,166056,0,0,0,0,38262,1438302,96321,1125908,0,129992,4808,153856,0,146688228,2997066,6125936,0,5236226,8790793,4468113,0,0,12929591,5649857
1285339f6e6a9d40,memcpyHtoD,1.664,5214,,,,,,,,,,,0,0,8,0
1285339f6e6c1600,main_58_gpu,5491.04,7,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,193688,38383,132529,17639,569,0,190014,0,0,2855,0,499902,2676574,171520,1900726,0,152089,4752,152064,0,141112940,3138636,9580672,0,5244418,9358581,4611353,0,0,13669081,5804020
1285339f6ebfece0,main_62_gpu_red,20.352,4,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3201,514,3056,0,1,8,256,0,87536,11385,2056,0,1,2080,1,0,0,2850,2
1285339f6ec04b40,memcpyDtoHasync,2.272,5521,,,,,,,,,,,0,0,8,0
1285339f6ec3eac0,main_71_gpu,5339.2,7,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,36976,36976,108439,5709,519,0,155680,0,0,0,0,34146,1504993,102883,1194208,0,137944,4720,151040,0,143602201,3023860,6146644,0,5236226,8860237,4470137,0,0,12869776,5647002
1285339f6f15cd00,memcpyHtoD,1.664,5279,,,,,,,,,,,0,0,8,0
1285339f6f174600,main_58_gpu,5497.44,7,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,194344,38513,132561,17639,569,0,190046,0,0,2915,0,507112,2681753,175202,1893882,0,151399,4728,151296,0,140531661,3115026,9600580,0,5244418,9331743,4612766,0,0,13676336,5803305
1285339f6f6b35e0,main_62_gpu_red,20.48,5,0.167,1,1,1,256,1,1,0,2048,12,0,-1,,0,0,0,265,1,24,20,1,0,350,0,0,5,0,15,3202,514,3056,0,1,8,256,0,87033,11509,2056,0,1,2084,1,0,0,2856,2
1285339f6f6b94a0,memcpyDtoHasync,2.272,5529,,,,,,,,,,,0,0,8,0
1285339f6f6f34a0,main_71_gpu,5212.74,7,1,16,512,1,32,8,1,0,8,10,0,-1,,0,0,0,33088,33088,108053,5687,517,0,152736,0,0,0,0,34877,1583632,108418,1121212,0,129576,4072,130304,0,147313899,3035880,6147288,0,5236226,8925201,4492384,0,0,13159921,5695367
1285339f6fbf2820,memcpyHtoD,1.696,5153,,,,,,,,,,,0,0,8,0
1285339f6fc1f780,main_58_gpu,5493.73,7,1,16,512,1,32,8,1,0,2056,19,0,-1,,0,0,0,193848,38415,132561,17639,569,0,189680,0,0,2895,0,504328,2668654,177969,1891108,0,151294,4744,151808,0,140708692,3132264,9602856,0,5244418,9310749,4603631,0,0,13671083,5789353
